growth_form,plant_code,species_name,common_name,family_name,synonyms,stem_cross_section,leaf_blade,(P) inflorescence,(P) florets_per_spikelet,(P) awns,( C ) inflorescence,( C ) spike_color,habitat,notes,photo_credit
graminoid,JUNBIG,Juncus biglumis,two-flowered rush,Juncaceae (Rushes),NA,"round, solid",involute,NA,NA,NA,NA,NA,moist meadow,NA,JG Smith
graminoid,JUNCAS,Juncus castaneus,chestnut rush,Juncaceae (Rushes),NA,"round, solid","flat, involute",NA,NA,NA,NA,NA,"moist meadow, wet meadow, subalpine",NA,JG Smith
graminoid,JUNDRU,Juncus drummondii,Drummond’s rush,Juncaceae (Rushes),NA,"round, solid",absent,NA,NA,NA,NA,NA,"moist meadow, wet meadow, talus, subalpine",NA,JG Smith
graminoid,JUNMER,Juncus mertensianus,Merten's rush,Juncaceae (Rushes),NA,"round, solid",involute,NA,NA,NA,NA,NA,"wet meadow, subalpine",NA,JG Smith
graminoid,JUNPAR,Juncus parryi,Parry's rush,Juncaceae (Rushes),NA,"round, solid","involute, absent",NA,NA,NA,NA,NA,"moist meadow, wet meadow, subalpine",NA,JG Smith
graminoid,JUNTRI,Juncus triglumis,three-hulled rush,Juncaceae (Rushes),NA,"round, solid","flat, involute",NA,NA,NA,NA,NA,"moist meadow, wet meadow",NA,JG Smith
graminoid,LUZSPI,Luzula spicata,spiked woodrush,Juncaceae (Rushes),NA,"round, solid",flat,NA,NA,NA,NA,NA,"moist meadow, snowbed, subalpine",NA,JG Smith
graminoid,AGROSP,Agrostis sp.,bentgrass,Poaceae (grasses),NA,"round,  hollow","flat, involute",open,1,"bent, absent",NA,NA,NA,"includes Agrostis humilis, A. mertensii, and A. variabilis",
graminoid,CALPUR,Calamagrostis purpurascens,purple reedgrass,Poaceae (grasses),NA,"round,  hollow",involute,contracted,1,"bent, twisted",NA,NA,"dry meadow, subalpine",NA,TBD
graminoid,DANINT,Danthonia intermedia,timber oatgrass,Poaceae (grasses),NA,"round,  hollow","flat, involute",contracted,2+,"bent, twisted",NA,NA,"moist meadow, subalpine",NA,TBD
graminoid,DESCAE,Deschampsia caespitosa,tufted hairgrass,Poaceae (grasses),NA,"round,  hollow",flat,open,2+,straight,NA,NA,"moist meadow, wet meadow, snowbed,  talus, subalpine",NA,TBD
graminoid,ELYSCR,Elymus scribneri,spreading wheatgrass,Poaceae (grasses),Agropyron scribneri,"round,  hollow","flat, involute",contracted,2+,straight,NA,NA,"dry meadow, talus, subalpine",NA,TBD
graminoid,FESTSP,Festuca sp.,fescue,Poaceae (grasses),NA,"round,  hollow",involute,contracted,2+,straight,NA,NA,"dry meadow, moist meadow, wet meadow, snowbed, talus, subalpine","includes Festuca brachyphylla, F. minutiflora, and F. rubra",
graminoid,HELMOR,Helictotrichon mortonianum,Morton’s alpine oatgrass,Poaceae (grasses),NA,"round,  hollow",involute,contracted,2+,"bent, twisted",NA,NA,dry meadow,NA,TBD
graminoid,PHLALP,Phleum alpinum,alpine timothy,Poaceae (grasses),Phleum commutatum,"round,  hollow",flat,contracted,1,straight,NA,NA,"moist meadow, subalpine",NA,TBD
graminoid,POA_SP,Poa sp.,bluegrass,Poaceae (grasses),NA,"round,  hollow",keeled,open,2+,,NA,NA,NA,"includes Poa arctica, P. alpina, P. cusickii, P. glauca, P. reflexa",
graminoid,TRISPI,Trisetum spicatum,spike trisetum,Poaceae (grasses),NA,"round,  hollow","flat, involute",contracted,2+,bent,NA,NA,"moist meadow, wet meadow, subalpine",NA,TBD
graminoid,CARALB,Carex albonigra,black and white sedge,Cyperaceae (Sedges),NA,"triangular, solid",flat,NA,NA,NA,2+ distinct spikes,black,"dry meadow, moist meadow, subalpine",NA,TBD
