growth_form,plant_code,species_name,common_name,family_name,synonyms,leaf_type,needle_arrangement,needles_per_fascicle,needle_apex,cone,leaf_margin,leaf_shape,leaf_arrangement,notes,photo_credit
shrub/tree,BEFO,Betula fontinalis,water birch,Betulaceae,B. occidentalis,deciduous,NA,NA,NA,NA,toothed/lobed,round,alternate,,
shrub/tree,BEGL,Betula glandulosa,dwarf birch,Betulaceae,NA,deciduous,NA,NA,NA,NA,toothed ,round,alternate,,
shrub/tree,LIBO,Linnea borealis,twinflower,Caprifoliaceae,NA,deciduous,NA,NA,NA,NA,toothed ,round,opposite ,,
shrub/tree,KAPO,Kalmia polifolia,bog laurel,Ericaceae,K. microphylla,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
shrub/tree,VACA,Vaccinium caespitosum,dwarf bilberry,Ericaceae,NA,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
shrub/tree,VAMY,Vaccinium myrtillus,whortleberry,Ericaceae,NA,deciduous,NA,NA,NA,NA,toothed,oblong,alternate,,
shrub/tree,VASC,Vaccinium scoparium,grouse whortleberry,Ericaceae,NA,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
shrub/tree,LUAR,Lupinus argenteus,silvery lupine,Fabaceae,NA,deciduous,NA,NA,NA,NA,entire ,palmate,alternate,subshrub,
shrub/tree,RIBE,Ribes sp.,gooseberry/currant,Grossulariaceae,NA,deciduous,NA,NA,NA,NA,lobed,palmate,alternate,Ribes montigenum or Ribes wolfii,
shrub/tree,JUCO,Juniperus communis,common juniper,Cupressaceae,NA,scale,NA,NA,NA,fused scales,NA,NA,NA,,
shrub/tree,ABLA,Abies lasiocarpa,subalpine fir,Pinaceae,A. bifolia,needle,solitary,NA,blunt ,soft scales/upward growing,NA,NA,NA,,
shrub/tree,PIEN,Picea engelmannii,Engelmann spruce,Pinaceae,NA,needle,solitary,NA,acute,soft scales/downward hanging,NA,NA,NA,,
shrub/tree,PIPU,Picea pungens,blue spruce,Pinaceae,NA,needle,solitary,NA,acute,soft scales/downward hanging,NA,NA,NA,,
shrub/tree,PICO,Pinus contorta,lodgepole pine,Pinaceae,P. strobiformis,needle,fascicles,2,acute,prickle/hard scales/downward hanging,NA,NA,NA,,
shrub/tree,PIFL,Pinus flexilis,limber pine,Pinaceae,NA,needle,fascicles,5,acute,hard scales/downward hanging,NA,NA,NA,,
shrub/tree,PIPO,Pinus ponderosa,ponderosa pine,Pinaceae,NA,needle,fascicles,3,acute,prickle/hard scales/downward hanging,NA,NA,NA,,
shrub/tree,PSME,Pseudotsuga menziesii,Douglas fir,Pinaceae,NA,needle,solitary,NA,blunt ,soft scales/downward hanging,NA,NA,NA,cone scales semi-soft,
shrub/tree,DROC,Dryas octopetala spp. hookeriana,mountain avens,Rosaceae,NA,deciduous,NA,NA,NA,NA,toothed,oblong,alternate,,
shrub/tree,DAFR,Dasiphora fruticosa,shrubby cinquefoil,Rosaceae,"Pentaphylloides floribunda, Potentilla fruticosa",deciduous,NA,NA,NA,NA,undulate,dissected ,alternate,,
shrub/tree,RUID,Rubus idaeus spp. melanolasius,red rasberry,Rosaceae,NA,deciduous,NA,NA,NA,NA,toothed,oblong,opposite ,,
shrub/tree,POTR,Populus tremuloides,quaking aspen,Salicaceae,NA,deciduous,NA,NA,NA,NA,toothed,round,alternate,,
shrub/tree,SAAR,Salix arctica spp. petraea,arctic willow,Salicaceae,NA,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
shrub/tree,SAGL,Salix glauca,greyleaf willow,Salicaceae,NA,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
shrub/tree,SANI,Salix nivalis,snow willow,Salicaceae,S. reticulata,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
shrub/tree,SAPL,Salix planifolia,diamondleaf willow,Salicaceae,S. phylicifolia,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
shrub/tree,SARE,Salix reticula ssp. nivalis ,netleaf willow,Salicaceae,NA,deciduous,NA,NA,NA,NA,entire ,round,alternate,,
shrub/tree,SAVI,Salix villosa,NA,Salicaceae,S. glauca var. villosa,deciduous,NA,NA,NA,NA,entire ,oblong,alternate,,
